   1.50000000 -1295.58937648 
   1.55000000 -1295.61194878 
   1.60000000 -1295.62856087 
   1.65000000 -1295.64043764 
   1.70000000 -1295.64861610 
   1.75000000 -1295.65393545 
   1.80000000 -1295.65704386 
   1.85000000 -1295.65851750 
   1.90000000 -1295.65878563 
   1.95000000 -1295.65819913 
   2.00000000 -1295.65706121 
   2.05000000 -1295.65559114 
   2.10000000 -1295.65398114 
   2.15000000 -1295.65237651 
   2.20000000 -1295.65193868 
   2.25000000 -1295.65101625 
   2.30000000 -1295.65025236 
   2.35000000 -1295.64965118 
   2.40000000 -1295.64916415 
   2.45000000 -1295.64876786 
   2.50000000 -1295.64844101 
   2.55000000 -1295.64816759 
   2.60000000 -1295.64794763 
   2.65000000 -1295.64778320 
   2.70000000 -1295.64780236 
   2.75000000 -1295.64786809 
   2.80000000 -1295.65351578 
   2.85000000 -1295.65367375 
   2.90000000 -1295.65380770 
   2.95000000 -1295.65390952 
   3.00000000 -1295.65396858 
   3.05000000 -1295.65398104 
   3.10000000 -1295.65393921 
   3.15000000 -1295.65384528 
   3.20000000 -1295.65369946 
   3.25000000 -1295.65351013 
   3.30000000 -1295.65328242 
   3.35000000 -1295.65302162 
   3.40000000 -1295.65274288 
   3.45000000 -1295.65245347 
   3.50000000 -1295.65215376 
   3.55000000 -1295.65184358 
   3.60000000 -1295.65152736 
   3.65000000 -1295.65120968 
   3.70000000 -1295.65089471 
   3.75000000 -1295.65058390 
   3.80000000 -1295.65027683 
   3.85000000 -1295.64999101 
   3.90000000 -1295.64968745 
   3.95000000 -1295.64938664 
   4.00000000 -1295.64909483 
   4.05000000 -1295.64881183 
   4.10000000 -1295.64854154 
   4.15000000 -1295.64828147 
   4.20000000 -1295.64802887 
   4.25000000 -1295.64778500 
   4.30000000 -1295.64754955 
   4.35000000 -1295.64732695 
   4.40000000 -1295.64711768 
   4.45000000 -1295.64691994 
   4.50000000 -1295.64673128 
   4.55000000 -1295.64655479 
   4.60000000 -1295.64638634 
   4.65000000 -1295.64622345 
   4.70000000 -1295.64606805 
   4.75000000 -1295.64592122 
   4.80000000 -1295.64578542 
   4.85000000 -1295.64565587 
   4.90000000 -1295.64553280 
   4.95000000 -1295.64541628 
   5.00000000 -1295.64530430 
